genotype,entry,treatment,season,(Z 54) Half of head emerged (DAE),(Z 87) Physiological maturity (DAE),Aboveground oven-dry biomass - 40 days after emergence (g/m2),Aboveground oven-dry biomass - Early grain fill (g/m2),Aboveground oven-dry biomass - Physiological maturity (g/m2),Grain nitrogen content (NIR) (%),Grains m2 (Number of grains/m2),Grains per spike (Number of grains per spike),Harvest index,Maximum Leaf SPAD-502 readings (SPAD),Maximum NDVI (GreenSeeker) (ndvi),Oven-dry grain weight per spike (g),Oven-dry grain yield (g/m2),Spikes m2 (Number of spikes/m2),Thousand oven-dry grain weight (g)
3825355,11,Well-watered,Winter 2022-2023,81.33333333333333,128.0,255.16666666666666,1405.0624,1583.9552,2.057986666666667,12684.163,42.682527666666665,0.4033333333333333,56.06666666666666,0.87,2.13802,635.0,298.3657633333333,50.080000000000005
4577931,2,Well-watered,Winter 2022-2023,83.66666666666667,131.66666666666666,204.25,1534.9142666666667,1679.5874999999999,2.0521266666666667,16391.7,51.88928166666667,0.41333333333333333,52.800000000000004,0.87,2.2038866666666665,693.3333333333334,323.70312,42.31333333333333
4748040,9,Well-watered,Winter 2022-2023,89.0,138.33333333333334,211.0,1131.6713,2015.3661666666667,2.009263333333333,15412.079333333333,50.316759,0.32666666666666666,55.166666666666664,0.8833333333333333,2.1502199999999996,656.0,310.5704666666666,42.62
4748117,7,Well-watered,Winter 2022-2023,88.66666666666667,135.0,280.5,1463.3948333333335,1606.6493333333335,1.8636966666666666,16031.062,51.56769800000001,0.41333333333333333,57.0,0.8966666666666666,2.13942,665.0,313.84268000000003,41.45333333333333
4748118,8,Well-watered,Winter 2022-2023,92.0,139.33333333333334,204.25,1330.5852333333335,2090.8611333333333,2.2213766666666666,15445.774333333333,65.350345,0.30666666666666664,56.333333333333336,0.8733333333333334,2.7092199999999997,639.3333333333334,238.12221,41.39333333333333
4748125,6,Well-watered,Winter 2022-2023,87.66666666666667,136.33333333333334,212.66666666666666,1245.6968666666667,1792.8476333333335,1.9270333333333334,16488.702333333335,53.43472233333333,0.38999999999999996,54.5,0.8733333333333334,2.2517533333333333,694.6666666666666,310.18819333333334,42.12
4748161,10,Well-watered,Winter 2022-2023,88.33333333333333,134.66666666666666,246.5,1233.5485666666666,1470.7991333333332,1.9373333333333334,15045.581,57.87124766666667,0.4566666666666667,56.9,0.88,2.5746866666666666,669.6666666666666,260.6625666666667,44.5
5180627,3,Well-watered,Winter 2022-2023,83.0,131.33333333333334,276.5,1753.9288666666664,1682.3554333333332,1.9182333333333332,14913.906333333332,57.796135,0.43333333333333335,54.9,0.86,2.810753333333333,726.0,261.9813266666667,48.673333333333325
5429336,13,Well-watered,Winter 2022-2023,84.0,131.33333333333334,312.0,1458.1042666666665,1600.1447,2.0795999999999997,12671.899,47.65540766666667,0.4166666666666667,56.800000000000004,0.87,2.5244866666666668,671.3333333333334,266.66917333333333,52.97333333333333
5551750,1,Well-watered,Winter 2022-2023,85.0,133.0,248.58333333333334,1378.4054333333333,1575.6986333333334,2.051136666666667,14451.254833333332,61.24840233333333,0.43,55.833333333333336,0.8733333333333334,2.8716866666666667,679.6666666666666,238.79267000000002,47.06
5893282,14,Well-watered,Winter 2022-2023,80.0,128.66666666666666,258.0,1282.2554333333335,1627.187,1.9309166666666666,16263.512333333332,55.77504266666667,0.44,57.333333333333336,0.86,2.4522866666666667,715.6666666666666,294.8684333333333,44.0
6056139,12,Well-watered,Winter 2022-2023,83.66666666666667,131.66666666666666,255.5,1692.4955333333335,1642.2643333333333,1.9488,12194.537666666665,46.95602066666667,0.3933333333333333,56.9,0.8633333333333333,2.4710199999999998,641.6666666666666,259.92441333333335,52.60666666666666
6175024,4,Well-watered,Winter 2022-2023,84.66666666666667,134.0,235.58333333333334,1264.11,1576.6823000000002,2.133013333333333,14584.769666666667,56.95430133333334,0.4566666666666667,55.36666666666667,0.86,2.8045533333333332,718.3333333333334,256.1233666666667,49.24
6176368,5,Well-watered,Winter 2022-2023,88.0,137.0,255.41666666666666,1270.1764,2070.5401333333334,2.11509,14221.563333333334,59.069950000000006,0.33666666666666667,54.43333333333334,0.87,2.9213533333333337,702.0,243.22642000000005,49.406666666666666
