genotype,entry,(Z 54) Half of head emerged (DAE) [WW_22],(Z 54) Half of head emerged (DAE) [WW_23],(Z 87) Physiological maturity (DAE) [WW_23],Aboveground oven-dry biomass - 40 days after emergence (g/m2) [WW_22],Aboveground oven-dry biomass - 40 days after emergence (g/m2) [WW_23],Aboveground oven-dry biomass - Early grain fill (g/m2) [WW_22],Aboveground oven-dry biomass - Early grain fill (g/m2) [WW_23],Aboveground oven-dry biomass - Physiological maturity (g/m2) [WW_23],Grain nitrogen content (NIR) (%) [WW_23],Grains m2 (Number of grains/m2) [WW_23],Grains per spike (Number of grains per spike) [WW_23],Harvest index [WW_23],Maximum Leaf SPAD-502 readings (SPAD) [WW_23],Maximum NDVI (GreenSeeker) (ndvi) [WW_23],Oven-dry grain weight per spike (g) [WW_23],Oven-dry grain yield (g/m2) [WW_23],Spikes m2 (Number of spikes/m2) [WW_23],Thousand oven-dry grain weight (g) [WW_23]
3825355,11,69.33333333,81.33333333,128,319.75,255.1666667,1010.40889,1405.0624,1583.9552,2.057986667,12684.163,42.68252767,0.403333333,56.06666667,0.87,2.13802,635,298.3657633,50.08
4577931,2,73.33333333,83.66666667,131.6666667,300.25,204.25,1003.496613,1534.914267,1679.5875,2.052126667,16391.7,51.88928167,0.413333333,52.8,0.87,2.203886667,693.3333333,323.70312,42.31333333
4748040,9,77.33333333,89,138.3333333,253,211,875.4851,1131.6713,2015.366167,2.009263333,15412.07933,50.316759,0.326666667,55.16666667,0.883333333,2.15022,656,310.5704667,42.62
4748117,7,69.66666667,88.66666667,135,251.8333333,280.5,940.0396333,1463.394833,1606.649333,1.863696667,16031.062,51.567698,0.413333333,57,0.896666667,2.13942,665,313.84268,41.45333333
4748118,8,76,92,139.3333333,253.5833333,204.25,817.3918,1330.585233,2090.861133,2.221376667,15445.77433,65.350345,0.306666667,56.33333333,0.873333333,2.70922,639.3333333,238.12221,41.39333333
4748125,6,73,87.66666667,136.3333333,177.375,212.6666667,856.7410933,1245.696867,1792.847633,1.927033333,16488.70233,53.43472233,0.39,54.5,0.873333333,2.251753333,694.6666667,310.1881933,42.12
4748161,10,75.33333333,88.33333333,134.6666667,293.0833333,246.5,927.2959533,1233.548567,1470.799133,1.937333333,15045.581,57.87124767,0.456666667,56.9,0.88,2.574686667,669.6666667,260.6625667,44.5
5180627,3,69,83,131.3333333,291.3333333,276.5,963.7759333,1753.928867,1682.355433,1.918233333,14913.90633,57.796135,0.433333333,54.9,0.86,2.810753333,726,261.9813267,48.67333333
5429336,13,71.33333333,84,131.3333333,310.1666667,312,1076.300823,1458.104267,1600.1447,2.0796,12671.899,47.65540767,0.416666667,56.8,0.87,2.524486667,671.3333333,266.6691733,52.97333333
5551750,1,72.66666667,85,133,262.3333333,248.5833333,934.8810333,1378.405433,1575.698633,2.051136667,14451.25483,61.24840233,0.43,55.83333333,0.873333333,2.871686667,679.6666667,238.79267,47.06
5893282,14,66.66666667,80,128.6666667,269.1666667,258,851.1631167,1282.255433,1627.187,1.930916667,16263.51233,55.77504267,0.44,57.33333333,0.86,2.452286667,715.6666667,294.8684333,44
6056139,12,73,83.66666667,131.6666667,276.4166667,255.5,1155.106167,1692.495533,1642.264333,1.9488,12194.53767,46.95602067,0.393333333,56.9,0.863333333,2.47102,641.6666667,259.9244133,52.60666667
6175024,4,72.66666667,84.66666667,134,275.5,235.5833333,986.9090167,1264.11,1576.6823,2.133013333,14584.76967,56.95430133,0.456666667,55.36666667,0.86,2.804553333,718.3333333,256.1233667,49.24
6176368,5,75,88,137,347.6666667,255.4166667,1069.674767,1270.1764,2070.540133,2.11509,14221.56333,59.06995,0.336666667,54.43333333,0.87,2.921353333,702,243.22642,49.40666667
