genotype,entry,treatment,season,(Z 54) Half of head emerged (DAE),(Z 87) Physiological maturity (DAE),Aboveground oven-dry biomass - 40 days after emergence (g/m2),Aboveground oven-dry biomass - Early grain fill (g/m2),Aboveground oven-dry biomass - Physiological maturity (g/m2),Maximum Leaf SPAD-502 readings (SPAD),Maximum NDVI (GreenSeeker) (ndvi)
3825355,11,Well-watered,Winter 2022-2023,81.33333333333333,128.0,255.16666666666666,1405.0624,1583.9552,56.06666666666666,0.87
4577931,2,Well-watered,Winter 2022-2023,83.66666666666667,131.66666666666666,204.25,1534.9142666666667,1679.5874999999999,52.800000000000004,0.87
4748040,9,Well-watered,Winter 2022-2023,89.0,138.33333333333334,211.0,1131.6713,2015.3661666666667,55.166666666666664,0.8833333333333333
4748117,7,Well-watered,Winter 2022-2023,88.66666666666667,135.0,280.5,1463.3948333333335,1606.6493333333335,57.0,0.8966666666666666
4748118,8,Well-watered,Winter 2022-2023,92.0,139.33333333333334,204.25,1330.5852333333335,2090.8611333333333,56.333333333333336,0.8733333333333334
4748125,6,Well-watered,Winter 2022-2023,87.66666666666667,136.33333333333334,212.66666666666666,1245.6968666666667,1792.8476333333335,54.5,0.8733333333333334
4748161,10,Well-watered,Winter 2022-2023,88.33333333333333,134.66666666666666,246.5,1233.5485666666666,1470.7991333333332,56.9,0.88
5180627,3,Well-watered,Winter 2022-2023,83.0,131.33333333333334,276.5,1753.9288666666664,1682.3554333333332,54.9,0.86
5429336,13,Well-watered,Winter 2022-2023,84.0,131.33333333333334,312.0,1458.1042666666665,1600.1447,56.800000000000004,0.87
5551750,1,Well-watered,Winter 2022-2023,85.0,133.0,248.58333333333334,1378.4054333333333,1575.6986333333334,55.833333333333336,0.8733333333333334
5893282,14,Well-watered,Winter 2022-2023,80.0,128.66666666666666,258.0,1282.2554333333335,1627.187,57.333333333333336,0.86
6056139,12,Well-watered,Winter 2022-2023,83.66666666666667,131.66666666666666,255.5,1692.4955333333335,1642.2643333333333,56.9,0.8633333333333333
6175024,4,Well-watered,Winter 2022-2023,84.66666666666667,134.0,235.58333333333334,1264.11,1576.6823000000002,55.36666666666667,0.86
6176368,5,Well-watered,Winter 2022-2023,88.0,137.0,255.41666666666666,1270.1764,2070.5401333333334,54.43333333333334,0.87
