genotype,entry,(Z 54) Half of head emerged (DAE) [WW_22],(Z 54) Half of head emerged (DAE) [WW_23],(Z 87) Physiological maturity (DAE) [WW_23],Aboveground oven-dry biomass - 40 days after emergence (g/m2) [WW_22],Aboveground oven-dry biomass - 40 days after emergence (g/m2) [WW_23],Aboveground oven-dry biomass - Early grain fill (g/m2) [WW_22],Aboveground oven-dry biomass - Early grain fill (g/m2) [WW_23],Aboveground oven-dry biomass - Physiological maturity (g/m2) [WW_23],Maximum Leaf SPAD-502 readings (SPAD) [WW_23],Maximum NDVI (GreenSeeker) (ndvi) [WW_23]
3825355,11,69.33333333,81.33333333,128,319.75,255.1666667,1010.40889,1405.0624,1583.9552,56.06666667,0.87
4577931,2,73.33333333,83.66666667,131.6666667,300.25,204.25,1003.496613,1534.914267,1679.5875,52.8,0.87
4748040,9,77.33333333,89,138.3333333,253,211,875.4851,1131.6713,2015.366167,55.16666667,0.883333333
4748117,7,69.66666667,88.66666667,135,251.8333333,280.5,940.0396333,1463.394833,1606.649333,57,0.896666667
4748118,8,76,92,139.3333333,253.5833333,204.25,817.3918,1330.585233,2090.861133,56.33333333,0.873333333
4748125,6,73,87.66666667,136.3333333,177.375,212.6666667,856.7410933,1245.696867,1792.847633,54.5,0.873333333
4748161,10,75.33333333,88.33333333,134.6666667,293.0833333,246.5,927.2959533,1233.548567,1470.799133,56.9,0.88
5180627,3,69,83,131.3333333,291.3333333,276.5,963.7759333,1753.928867,1682.355433,54.9,0.86
5429336,13,71.33333333,84,131.3333333,310.1666667,312,1076.300823,1458.104267,1600.1447,56.8,0.87
5551750,1,72.66666667,85,133,262.3333333,248.5833333,934.8810333,1378.405433,1575.698633,55.83333333,0.873333333
5893282,14,66.66666667,80,128.6666667,269.1666667,258,851.1631167,1282.255433,1627.187,57.33333333,0.86
6056139,12,73,83.66666667,131.6666667,276.4166667,255.5,1155.106167,1692.495533,1642.264333,56.9,0.863333333
6175024,4,72.66666667,84.66666667,134,275.5,235.5833333,986.9090167,1264.11,1576.6823,55.36666667,0.86
6176368,5,75,88,137,347.6666667,255.4166667,1069.674767,1270.1764,2070.540133,54.43333333,0.87
