data_subset,treatment,future_new_name,PC1,PC2,PC3,PC4,PC5
A,Well-Watered season 2023,Half of head emerged (DAE),0.38119153648051823,-0.051443875854437715,-0.1605264017180635,0.2456726786971452,0.1720394552715959
A,Well-Watered season 2023,Physiological maturity (DAE),0.40088886584772904,-0.09765751436050023,-0.07518164582044992,0.13512215655634557,0.15611103997986042
A,Well-Watered season 2023,Aboveground biomass at 40 DAE (g/m2),-0.31499828463078183,-0.056185089412644336,-0.1440182469505714,0.3055540626167692,0.2869039490971443
A,Well-Watered season 2023,Aboveground biomass at early grain fill (g/m2),-0.25667672013145443,-0.02942932986669669,-0.02105983349875597,-0.12173168473213139,0.7184659162075532
A,Well-Watered season 2023,Aboveground biomass at physiological maturity (g/m2),0.3429664868670101,-0.1478813461345271,-0.10784609599331019,-0.26638680289749805,0.22795183779929196
A,Well-Watered season 2023,Grain nitrogen content (%),0.1448685463113925,-0.35211525751219225,-0.12845865327174202,-0.28634822240524477,-0.37671116035820584
A,Well-Watered season 2023,Grains per m2,0.2529374387003192,0.21845720449477965,0.43536260119001136,0.11556258648797607,0.027450648309927224
A,Well-Watered season 2023,Grains per spike,0.22239729007586284,-0.3136001678457631,0.30401165711027933,0.2866720113030017,0.029922995702750557
A,Well-Watered season 2023,Harvest index,-0.319870383218224,0.08329900013259658,0.30314582631726705,0.26264964915717726,-0.20173419634951859
A,Well-Watered season 2023,Maximum Leaf SPAD-502 readings (SPAD),-0.14068062827786293,-0.004466869063365903,-0.28949938439843986,0.5236307824985473,-0.251611237464254
A,Well-Watered season 2023,Maximum NDVI,0.21417080583826906,0.28775405793758113,-0.22934389555831114,0.3533371317010467,0.15685281108647636
A,Well-Watered season 2023,Grain weight per spike (g),-0.01952287468188004,-0.5068428023890136,0.16772153363196024,0.17028010959636344,0.08124070403183076
A,Well-Watered season 2023,Grain yield (g/m2),-0.07533853133188721,-0.10041048228806854,0.5735513253935192,-0.0040031271014514215,0.12271907267233532
A,Well-Watered season 2023,Spikes per m2,0.018736770198455547,0.5109959486764202,0.07484403878899666,-0.21657855650166266,0.0022871653417882486
A,Well-Watered season 2023,Thousand-grain weight (g),-0.3200595626140961,-0.2720683740695346,-0.21517193215873875,-0.14413010684401534,0.04158604035665989
B,Well-Watered season 2022,Half of head emerged (DAE),0.28100545615357614,-0.22302736394680933,-0.1756059415754233,-0.07102854909394235,0.09976368794661028
B,Well-Watered season 2023,Half of head emerged (DAE),0.34091834591433606,-0.10828803965838105,-0.12828502994137955,0.2235777888297019,0.2713456327189372
B,Well-Watered season 2023,Physiological maturity (DAE),0.35800070101219306,-0.1396116099561163,-0.052394169222967094,0.10803050779436756,0.24412508950869008
B,Well-Watered season 2022,Aboveground biomass at 40 DAE (g/m2),-0.19700023977176964,-0.2593055490996452,-0.09272208655142321,-0.15104907401678375,0.10574150728589898
B,Well-Watered season 2023,Aboveground biomass at 40 DAE (g/m2),-0.29608498176860126,-0.031847216769914144,-0.05815541831195265,0.32430562480273256,0.2750307731000745
B,Well-Watered season 2022,Aboveground biomass at early grain fill (g/m2),-0.2686097433173224,-0.19695424585950969,-0.23770887113315475,-0.17609764416387902,0.3357220226003648
B,Well-Watered season 2023,Aboveground biomass at early grain fill (g/m2),-0.24286244167732687,-0.015717818679020928,-0.023098079333205252,-0.09918099461387511,0.4502078346736665
B,Well-Watered season 2023,Aboveground biomass at physiological maturity (g/m2),0.2850298439011194,-0.19916096480537673,-0.08436970049195368,-0.2148410909984262,0.04125240897775307
B,Well-Watered season 2023,Grain nitrogen content (%),0.1035842259449502,-0.3746249650385752,-0.027992996374143535,-0.1821447902285931,-0.39477947499872446
B,Well-Watered season 2023,Grains per m2,0.24869355949938124,0.2738009666253272,0.3215959662230395,-0.05279441464160659,0.1140666793863514
B,Well-Watered season 2023,Grains per spike,0.20052329110858078,-0.20914920233141768,0.411165504072169,0.21298448896609884,0.06830483129043921
B,Well-Watered season 2023,Harvest index,-0.26472657417984413,0.1763309181917785,0.27386761539921306,0.15926571870185127,0.018952088645837296
B,Well-Watered season 2023,Maximum Leaf SPAD-502 readings (SPAD),-0.11325811289675856,0.024361765245742375,-0.13519447580587626,0.6225091245847272,-0.3097905980177949
B,Well-Watered season 2023,Maximum NDVI,0.19854800340650022,0.1929627201658186,-0.28763058637295275,0.29092330935016486,0.33754978153737575
B,Well-Watered season 2023,Grain weight per spike (g),-0.03415516071971087,-0.4066241411843308,0.3352811384989178,0.16619215158681078,0.10512099734393447
